Nome,Ativo Total,Carteira de Crédito,Passivo Circulante,Captações,Patrimonio Liquido,Lucro Liquido,Numero de Agencias,Numero de Postos,Comprado Por
ITAÚ UNIBANCO HOLDING SA,130854339,0,6965135,0,123889204,1879625,2,0,Mitsubishi UFJ Japão
BANCO BRADESCO SA,1273076905,384387705,1143528290,958332012,129548615,3382086,4475,1391,BANCO COOPERATIVO DO BRASIL SA - BANCOOB
BANCO JP MORGAN SA,85228488,3334907,79981656,56601124,5246832,159148,5,0,BANCO DO NORDESTE DO BRASIL SA
BANCO BTG PACTUAL SA,206303262,17371960,184304370,92763883,21998893,-907786,8,0,CAIXA ECONOMICA FEDERAL
BANCO DO BRASIL SA,1526576297,620847544,1424355817,1224384634,102220480,3189276,4369,838,BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL
BANCO VOTORANTIM SA,95586154,9739928,85591892,72769787,9994262,204488,12,0,BANCO ITAUCARD SA
CAIXA ECONOMICA FEDERAL,1520731943,716994325,1445601857,1165989634,75130087,2016043,3381,744,BANCO BNP PARIBAS BRASIL SA
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL,2267219555,884514854,2079597872,1510776142,187621683,8733730,4374,838,CIELO SA
BANCO DO ESTADO DO RIO GRANDE DO SUL SA,83354512,36052495,75287504,64421103,8067008,257522,520,139,BANCO BNP PARIBAS BRASIL SA
ITAÚ UNIBANCO SA,1272363618,256637137,1184889871,992379508,87473747,366577,2970,897,BANCO BNP PARIBAS BRASIL SA