Nome,Ativo Total,Carteira de Crédito,Passivo Circulante,Captações,Patrimonio Liquido,Lucro Liquido,Numero de Agencias,Numero de Postos
BANCO DO BRASIL SA,1526576297,620847544,1424355817,1224384634,102220480,3189276,4369,838
CAIXA ECONOMICA FEDERAL,1314428681,699622365,1261297487,1073225751,53131194,2923829,3373,744
BANCO BRADESCO SA,1273076905,384387705,1143528290,958332012,129548615,3382086,4475,1391
ITAÚ UNIBANCO SA,1272363618,256637137,1184889871,992379508,87473747,366577,2970,897
BANCO SANTANDER (BRASIL) SA,994363368,248106303,909358645,633514961,85004723,3788539,2746,1910
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL,740643258,263667310,655242055,286391508,85401203,5544454,5,0
BANCO BTG PACTUAL SA,206303262,17371960,184304370,92763883,21998893,-907786,8,0
BANCO SAFRA SA,161290506,48196306,149026562,131915397,12263944,497253,114,5
ITAÚ UNIBANCO HOLDING SA,130854339,0,6965135,0,123889204,1879625,2,0
BANCO CITIBANK SA,115139264,17565995,109057683,59169513,6081580,195563,81,8
BANCO ITAUCARD SA,113051856,82368811,102553672,51642682,10498183,-557948,2,0
BANCO VOTORANTIM SA,95586154,9739928,85591892,72769787,9994262,204488,12,0
BANCO JP MORGAN SA,85228488,3334907,79981656,56601124,5246832,159148,5,0
CIELO SA,84219844,0,74962598,10102615,9257246,166803,0,0
BANCO DO ESTADO DO RIO GRANDE DO SUL SA,83354512,36052495,75287504,64421103,8067008,257522,520,139
BANCO COOPERATIVO SICREDI SA,66620855,12273582,65213863,61349327,1406992,16443,6,0
REDECARD SA,63881684,0,46656047,0,17225637,98795,1,0
BANCO BNP PARIBAS BRASIL SA,63566180,12882819,60609345,25142148,2956834,132457,5,0
BANCO DO NORDESTE DO BRASIL SA,59121464,10716778,53504415,16756066,5617049,327653,296,2
BANCO COOPERATIVO DO BRASIL SA - BANCOOB,56740211,9708317,54771812,47713963,1968399,54999,5,0
ICBC China,0,0,0,0,0,0,0,0
Banco de Construção da China,0,0,0,0,0,0,0,0
Banco de Agricultura da China,0,0,0,0,0,0,0,0
Bank da China,0,0,0,0,0,0,0,0
JPMorgan Chase EUA,0,0,0,0,0,0,0,0
Banco da America EUA,0,0,0,0,0,0,0,0
Citigroup EUA,0,0,0,0,0,0,0,0
HSBC Holdings Reino Unido,0,0,0,0,0,0,0,0
Mitsubishi UFJ Japão,0,0,0,0,0,0,0,0
Wells Fargo EUA,0,0,0,0,0,0,0,0